ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
45380.0,-68.523261439082106,44.025317954138245,25.46,0.31
45380.0,-68.658409135520998,43.947168497261742,46.45,0.57
45380.0,-68.826595348855264,43.920371942374402,55.03,0.64
45380.0,-69.779365713586245,43.52333234642483,8.29,0.12
45380.0,-69.837114580572191,43.437859122709334,5.43,0.07
45380.0,-69.863281974388741,43.433458955743127,7.51,0.09
45380.0,-69.943383826734632,43.441519460579421,21.38,0.23
45380.0,-70.280769575089352,43.181905177867471,43.16,0.58
45380.0,-70.369119809684236,43.139814645885032,39.96,0.62
45380.0,-70.296398881837476,43.042572331617308,43.74,0.65
45380.0,-70.266307894596409,43.024227393752,50.49,0.69
45380.0,-70.295520912299054,42.970175769675279,60.40,0.69
45380.0,-69.966772531137394,43.03930486630518,2.49,0.02
45380.0,-70.020439411574699,43.021454611938665,39.40,0.29
45380.0,-70.110552641247239,43.076236204442189,34.89,0.24
45380.0,-69.966975152113989,43.09390998972011,18.92,0.13
45380.0,-69.961201789624226,42.993164402624465,31.27,0.25
45380.0,-69.884197914352882,42.984690179149133,43.40,0.36
453810.0,-68.120454246089352,43.575461137588832,22.65,0.25
453810.0,-68.225955057083851,43.598170185967774,22.04,0.24
453810.0,-68.3248664232555,43.534423207761627,26.84,0.29
453810.0,-68.398458206472696,43.542570588463946,36.60,0.36
453810.0,-68.474326834477509,43.476383710765091,27.48,0.26
453810.0,-68.514544679239521,43.452963614546732,3.15,0.03
453810.0,-68.538279293536277,43.419044918495615,21.81,0.20
453810.0,-68.483421625803771,43.390851808880043,30.72,0.31
453810.0,-68.531257020604968,43.249702782628894,26.46,0.25
453810.0,-69.22286954052521,43.226844270741914,31.44,0.35
453810.0,-68.800200000000046,43.325099999999694,6.78,0.05
453810.0,-68.775938140834342,43.265203924065716,6.01,0.04
453810.0,-68.523949234534513,43.0981890311757,78.51,0.88
453810.0,-68.446734777110862,43.193495343187436,74.34,0.76
453810.0,-68.321814639639115,43.191178300034188,75.60,0.69
453810.0,-68.177779490516997,43.224549048030113,68.41,0.54
453813.0,-69.101208492520328,43.816425914693269,90.70,0.71
453813.0,-69.43679076309698,43.795323867367792,89.03,0.76
453814.0,-69.051941276498837,43.776704286505492,79.17,0.64
453814.0,-70.38987529275046,43.077070128805666,28.48,0.30
453814.0,-70.35853884679014,42.923852909605856,37.91,0.45
453814.0,-70.365821642694982,42.908037120097163,39.45,0.45
453814.0,-70.381532567859409,42.94229261986348,36.51,0.39
453814.0,-70.371956132977559,42.996992190460354,26.72,0.28
453814.0,-70.365228231398007,42.942360585586286,36.15,0.37
453814.0,-70.234694517956797,42.864679487319059,37.51,0.38
453814.0,-70.192838700711349,42.863120289396306,36.46,0.38
453814.0,-70.253832077526383,42.85208250421605,47.34,0.50
453814.0,-70.40262006325986,42.829050621899022,54.46,0.60
453814.0,-70.33135723718101,42.828198610609931,50.68,0.61
453814.0,-70.188093225193001,42.866741652363984,49.28,0.55
453814.0,-70.172444087873089,42.773262229380926,57.87,0.64
453814.0,-70.159931246877989,42.748666827422461,57.13,0.63
453814.0,-70.160065756726709,42.70932208730472,65.39,0.64
453814.0,-70.051588189721244,42.716198390162496,52.15,0.47
453814.0,-69.929069515117945,42.763004103131365,52.83,0.49
453814.0,-70.128331184734321,42.569265907008472,12.14,0.10
453814.0,-70.109704411727733,42.481539557116058,13.23,0.12
453814.0,-69.891591874571731,42.335060722223773,13.61,0.13
453814.0,-69.768473019151983,42.230264332471272,27.08,0.29
453814.0,-69.68460093633766,42.179261679159147,32.17,0.34
453814.0,-69.689855847766154,42.24285337367607,31.34,0.32
453814.0,-69.641458550898889,42.287331305103571,27.46,0.25
453814.0,-69.639621590846801,42.294326383272249,12.30,0.12
453814.0,-69.588013330876691,42.300900882862528,15.94,0.15
453814.0,-69.576755845208382,42.32524532802406,28.57,0.24
453814.0,-69.512424731839758,42.33170704338869,42.78,0.35
453815.0,-68.288377173612503,42.196357039535535,31.57,0.21
453816.0,-68.96061172422111,43.6664367012159,48.35,0.37
453816.0,-69.17657606248882,43.676411816272463,58.92,0.47
453816.0,-70.327993166013371,42.5187115966121,21.34,0.18
453816.0,-70.114206984632716,42.586120060510687,8.71,0.08
453816.0,-68.901027363325213,42.014895550186914,63.81,0.74
453816.0,-68.929833733174888,42.102327957039762,70.88,0.79
453816.0,-68.968775904545481,42.127106446977436,52.28,0.50
453816.0,-68.987278358037941,42.345241809249082,39.99,0.35
453816.0,-69.036065028692661,42.452733264172188,34.28,0.31
453816.0,-68.878104244394066,42.617972988467024,35.55,0.34
453816.0,-68.73944492691578,42.577474179453667,36.76,0.33
453816.0,-68.741995925755418,42.489843890021497,51.65,0.42
453816.0,-68.649588305447779,42.527597134033016,52.34,0.43
453816.0,-68.516411441159519,42.486046575375802,54.26,0.45
453816.0,-68.039069526862249,42.607975721095691,72.16,0.60
453816.0,-68.002333764530974,42.655856501061471,65.03,0.53
453816.0,-67.952333779525603,42.701441751141211,56.39,0.45
453816.0,-67.972269259735754,42.779358798529202,47.14,0.37
453816.0,-68.042158265305574,42.922685392360968,40.38,0.32
453816.0,-68.008356031081433,43.005876795055286,44.36,0.31
453816.0,-67.967772434853501,43.087785291848022,39.11,0.27
453816.0,-67.914784941834768,43.109528464689234,35.62,0.25
453816.0,-67.801350916959279,43.214158486464925,2.04,0.01
453816.0,-67.584971041390546,43.201668694303635,8.61,0.06
453816.0,-67.609243343321907,43.123890420766813,20.22,0.14
453816.0,-67.696959477805336,43.082124262817302,28.68,0.18
453816.0,-67.760347026542206,43.169175960904738,32.55,0.17
453816.0,-67.751913249066135,43.213494183736294,32.07,0.16
453816.0,-67.779442554125751,43.186035496043139,32.53,0.15
453816.0,-67.759737898325298,43.193988381790696,27.44,0.13
453816.0,-67.670340173409201,43.214795094298125,20.77,0.10
453816.0,-67.428267866509017,43.188922796454847,40.22,0.20
453816.0,-67.277182400038896,43.081128689173227,49.16,0.28
453816.0,-67.212816060407107,42.973686041160647,23.48,0.16
453816.0,-67.221435442809806,42.842899050863842,11.52,0.08
453816.0,-67.323151501935342,42.703697976823918,27.84,0.21
453816.0,-67.484458881423933,42.668068707629232,44.52,0.35
453816.0,-67.576878880508247,42.702982778818445,35.91,0.27
453816.0,-67.515483473770118,42.704022408705185,12.06,0.08
453816.0,-67.377405336048241,42.675660860295103,18.39,0.12
453817.0,-69.004398262766031,43.545319201733889,42.52,0.38
453817.0,-70.171665998567761,43.44230512743988,29.87,0.42
453817.0,-70.245641052313857,43.314302873403236,26.63,0.37
453817.0,-70.278303508288559,43.30668178159538,13.30,0.17
453817.0,-70.451517127669504,43.22889964274782,18.64,0.23
453817.0,-70.544025611846735,43.03672752965624,30.63,0.25
453817.0,-70.621754973929882,42.95887053247376,34.09,0.28
453817.0,-70.48545227098667,42.77734522265915,26.01,0.24
453817.0,-70.323940570847526,42.73779124074013,23.52,0.22
453817.0,-70.173223968210777,42.658201540522732,22.17,0.19
453817.0,-70.135620771805705,42.603305334609594,35.28,0.29
453817.0,-70.12696938946705,42.557640168945255,57.67,0.46
453817.0,-70.08947012532515,42.482149909884718,64.75,0.53
453817.0,-69.881240607026584,42.356267831142532,66.76,0.56
453817.0,-69.69541694816273,42.275771897694021,38.83,0.35
453817.0,-69.678942307671846,42.33222443982153,27.17,0.22
453817.0,-69.733569817867732,42.452281727531478,38.34,0.31
453817.0,-69.053833503033971,42.008803990832938,30.52,0.29
453817.0,-68.878429208923507,42.121654568297942,17.79,0.18
453817.0,-68.812877928427753,42.188993458174956,8.70,0.09
453817.0,-68.801945078255045,42.177114430446366,9.74,0.10
453817.0,-68.765840906312761,42.229963841773483,11.48,0.10
453817.0,-68.093491132697366,42.331286756192064,22.94,0.18
453817.0,-68.054460049323438,42.264678083300183,22.84,0.16
453817.0,-67.990564007889873,42.231492469783781,31.78,0.22
453818.0,-68.846082786935753,43.461095446769477,13.34,0.13
453818.0,-68.908810456540195,43.433870228488836,14.31,0.15
453818.0,-69.010872070630967,43.493020353706484,22.26,0.26
453818.0,-69.139094686652044,43.523025940814208,44.04,0.56
453818.0,-69.3035028052402,43.578222024555025,47.56,0.69
453818.0,-69.417138758998206,43.573823283408103,43.04,0.68
453818.0,-69.48508944401334,43.594130981658559,33.49,0.50
453818.0,-69.524802073700982,43.464805484388201,29.66,0.43
453818.0,-69.531879102411082,43.406628271055844,28.99,0.41
453818.0,-69.607190893445846,43.413929023972969,18.92,0.26
453818.0,-69.711226095296894,43.42170712629197,18.77,0.25
453818.0,-69.692673213320049,43.488575487583631,4.76,0.06
453818.0,-69.762014904023459,43.470964607574913,14.14,0.21
453818.0,-69.703243409097126,43.463098240114334,6.39,0.09
453818.0,-69.757996688960233,43.443524942926231,23.16,0.37
453818.0,-69.873739992078796,43.457361268894637,45.67,0.69
453818.0,-70.020832532667299,43.429350857106158,50.75,0.76
453819.0,-68.803000000000054,43.357600000000019,4.26,0.04
453819.0,-68.903196076319986,43.358541261367563,5.61,0.06
453819.0,-68.979403514009235,43.458445931239666,10.48,0.13
453819.0,-69.183360537415766,43.444394841168894,19.58,0.25
453819.0,-69.122243618891957,43.369817700701105,21.70,0.30
453819.0,-69.139890033938713,43.416740153277154,17.04,0.24
45386.0,-68.312459995071194,43.737531044482871,23.12,0.23
45386.0,-68.459471851092999,43.70070789907993,7.95,0.08
45386.0,-68.569111984065529,43.648498028362063,8.50,0.09
45386.0,-69.384671062812004,43.630534981354998,46.76,0.60
45386.0,-69.42919758283783,43.582469385080429,32.49,0.37
45386.0,-69.457727790836955,43.628564960562954,34.32,0.37
46382.0,-68.804431319940221,43.945119793058367,14.98,0.15
46382.0,-68.845731524649594,43.790787274303838,24.27,0.27
47362.0,-65.754144483018806,44.959938657945287,15.96,0.05
47362.0,-65.651621066077823,45.034174414467763,36.17,0.12
47362.0,-65.515372501852227,45.048684320704908,48.69,0.15
47362.0,-65.606621179599586,45.032532699101203,24.54,0.08
47362.0,-65.596448494536148,45.046620074740915,9.01,0.03
47362.0,-65.079961583284359,45.176965127579535,2.04,0.01
47382.0,-68.603347825853433,44.011851406198851,25.29,0.34
47382.0,-68.732655569113604,43.925812827945194,9.76,0.14
47382.0,-68.868689093128907,43.808327532216602,14.47,0.23
47382.0,-68.883749202601521,43.785149916801856,1.55,0.02
47382.0,-68.879673333862499,43.814661620701138,6.44,0.10
47382.0,-68.88195601615125,43.813695661946198,5.82,0.08
47382.0,-68.930791436833914,43.780586371800261,12.86,0.16
47382.0,-68.998319868676944,43.804375996611427,52.61,0.66
47382.0,-70.44729330853491,43.048029264567234,42.31,0.65
47382.0,-70.618669008418294,42.808813558885362,59.00,0.60
47472.0,-67.43637346149454,44.491630578274794,21.27,0.20
47472.0,-67.716672876009213,44.37376033691681,3.95,0.04
47472.0,-67.893794021202439,44.291968371476095,20.01,0.22
47472.0,-68.048978118652727,44.300190722846182,43.74,0.48
47472.0,-68.22810698471875,44.160089921398153,34.89,0.33
47472.0,-68.706402967852583,43.51326779910783,52.05,0.72
47472.0,-68.708805938902287,43.513640334958367,63.74,0.85
47472.0,-68.648423532622104,43.478191038899688,67.88,0.89
47472.0,-68.619743607795584,43.398589431554875,59.24,0.64
47472.0,-68.684167467948257,43.303536506804178,48.21,0.57
47472.0,-68.74113899376789,43.235099425309691,32.78,0.34
